date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:59	184093/184093	---MCZ	200	added ('OK')	text/html	etag:W/%22v6zqq4zgre3y1m%22	https://galliform_red_600.pineapplebuilder.com/	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/index.html	(from )
09:33:59	107/107	---M--	200	added ('OK')	text/plain	date:Mon,%2016%20Oct%202023%2006:33:59%20GMT	https://galliform_red_600.pineapplebuilder.com/robots.txt		(from )
09:33:59	42641/42641	---MCZ	200	added ('OK')	text/css	etag:W/%22241be89f244156324d10fdd2d2e67925%22	https://galliform_red_600.pineapplebuilder.com/_next/static/css/3f260a7d676c9bc9.css	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/css/3f260a7d676c9bc9.css	(from https://galliform_red_600.pineapplebuilder.com/)
09:33:59	1536/1536	---MCZ	200	added ('OK')	application/javascript	etag:W/%22336dca2c8d9a550e2e328642475f0c32%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/5767.9d0e60d34cf71741.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/5767.9d0e60d34cf71741.js	(from https://galliform_red_600.pineapplebuilder.com/)
09:34:00	1518/1518	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f54fc38360e596755c8f87a520ad5a54%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/1255.72207e2e2c037368.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/1255.72207e2e2c037368.js	(from https://galliform_red_600.pineapplebuilder.com/)
09:34:01	873/873	---M--	200	added ('OK')	application/javascript	etag:%22196651ba3b34ad6f09a4c1a95c4a2e6e%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/5226.65c4685583eb9cc1.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/5226.65c4685583eb9cc1.js	(from https://galliform_red_600.pineapplebuilder.com/)
09:34:01	1611/1611	---MCZ	200	added ('OK')	application/javascript	etag:W/%2234b1b6e604a3cee8a7e62b5cdb820507%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/520.09a07c4a9b52a869.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/520.09a07c4a9b52a869.js	(from https://galliform_red_600.pineapplebuilder.com/)
09:34:01	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://galliform_red_600.pineapplebuilder.com/)
09:34:01	4747/4747	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257cc3b3178118aed33e7b0072361f36c%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/webpack-0cc4dc1e018ef254.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/webpack-0cc4dc1e018ef254.js	(from https://galliform_red_600.pineapplebuilder.com/)
09:34:03	14481/14481	---MCZ	200	added ('OK')	application/javascript	etag:W/%224675d88cbcc1ce2acc3a670b4ed41067%22	https://galliform_red_600.pineapplebuilder.com/_next/static/chunks/pages/_app-a3ee9e90ed2b7938.js	C:/Users/Admin/3D%20Objects/1A%20FOLDER/CODE76%20POS%20SITE/galliform_red_600.pineapplebuilder.com/_next/static/chunks/pages/_app-a3ee9e90ed2b7938.js	(from https://galliform_red_600.pineapplebuilder.com/)
